NU_INSCRICAO,NU_ANO,CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,CO_UF_RESIDENCIA,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,CO_MUNICIPIO_NASCIMENTO,NO_MUNICIPIO_NASCIMENTO,CO_UF_NASCIMENTO,SG_UF_NASCIMENTO,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_ESCOLA,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,IN_BAIXA_VISAO,IN_CEGUEIRA,IN_SURDEZ,IN_DEFICIENCIA_AUDITIVA,IN_SURDO_CEGUEIRA,IN_DEFICIENCIA_FISICA,IN_DEFICIENCIA_MENTAL,IN_DEFICIT_ATENCAO,IN_DISLEXIA,IN_DISCALCULIA,IN_AUTISMO,IN_VISAO_MONOCULAR,IN_OUTRA_DEF,IN_GESTANTE,IN_LACTANTE,IN_IDOSO,IN_ESTUDA_CLASSE_HOSPITALAR,IN_SEM_RECURSO,IN_BRAILLE,IN_AMPLIADA_24,IN_AMPLIADA_18,IN_LEDOR,IN_ACESSO,IN_TRANSCRICAO,IN_LIBRAS,IN_TEMPO_ADICIONAL,IN_LEITURA_LABIAL,IN_MESA_CADEIRA_RODAS,IN_MESA_CADEIRA_SEPARADA,IN_APOIO_PERNA,IN_GUIA_INTERPRETE,IN_COMPUTADOR,IN_CADEIRA_ESPECIAL,IN_CADEIRA_CANHOTO,IN_CADEIRA_ACOLCHOADA,IN_PROVA_DEITADO,IN_MOBILIARIO_OBESO,IN_LAMINA_OVERLAY,IN_PROTETOR_AURICULAR,IN_MEDIDOR_GLICOSE,IN_MAQUINA_BRAILE,IN_SOROBAN,IN_MARCA_PASSO,IN_SONDA,IN_MEDICAMENTOS,IN_SALA_INDIVIDUAL,IN_SALA_ESPECIAL,IN_SALA_ACOMPANHANTE,IN_MOBILIARIO_ESPECIFICO,IN_MATERIAL_ESPECIFICO,IN_NOME_SOCIAL,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT,TP_LINGUA,TX_GABARITO_CN,TX_GABARITO_CH,TX_GABARITO_LC,TX_GABARITO_MT,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
190004154573,2019,2304400,Fortaleza,23,CE,32,M,1,2,1,2304400.0,Fortaleza,23.0,CE,1,13,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304400,Fortaleza,23,CE,1,1,1,1,504.0,508.0,512.0,516.0,574.0,684.8,627.7,430.9,CBCBEEBEEEDDEDDEBECEEACEDDCBCCCBBCCCCBDDBBBDD,CBABADCBEEEEBEBADBBEEDBBEADBEACDBEEEBCCADACAC,BBE*A99999CBABAEBBCCCABCCEDBBCBCEBAAADDDECDECDAECD,DBCACECBEBBCACCCBECCBCCADCBDBCCAEBDBEEACADDBD,0,BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB,CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC,BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD,BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD,1.0,160.0,200.0,160.0,120.0,120.0,760.0,D,G,F,D,1,D,A,B,B,A,A,B,A,B,B,B,A,A,B,B,A,B,A,B,B
190003253644,2019,2304400,Fortaleza,23,CE,20,M,1,1,1,2304400.0,Fortaleza,23.0,CE,1,2,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304400,Fortaleza,23,CE,1,1,1,1,505.0,510.0,513.0,518.0,571.9,598.3,558.0,717.8,BADBCEBDBCEBDECBBECCBBBDBAADDBBEDBEADACEDDBEE,EBDCCEEBADBBABCBDBBDCAEBCDEBABCDCEBBDADDCADCE,ADBBE99999DBECDBDCAEEBDCBAADECDEEEAAAEAEBEBCCDBCBC,DDCBAECBDDBBCCCEBEBCACEAEDDEABEAAABCCEDABACAB,0,DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE,EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB,ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC,DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB,1.0,120.0,120.0,120.0,140.0,80.0,580.0,D,E,D,D,4,H,A,C,D,B,A,B,B,B,A,B,B,B,C,B,B,E,A,B,B
190002754884,2019,2304400,Fortaleza,23,CE,38,M,2,4,1,2304400.0,Fortaleza,23.0,CE,2,0,2,,0,23188510.0,2304400.0,Fortaleza,23.0,CE,2.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304400,Fortaleza,23,CE,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,B,B,B,B,7,C,A,B,B,A,A,B,A,A,A,A,A,A,B,A,A,C,A,A,A
190005188578,2019,2304400,Fortaleza,23,CE,36,F,2,1,1,2304400.0,Fortaleza,23.0,CE,1,13,1,1.0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304400,Fortaleza,23,CE,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,D,C,B,B,3,C,A,B,C,A,A,B,A,B,A,A,A,B,B,A,A,B,A,B,B
190005038063,2019,2304400,Fortaleza,23,CE,16,F,1,3,1,2304400.0,Fortaleza,23.0,CE,3,0,1,,1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304400,Fortaleza,23,CE,0,1,1,0,,510.0,513.0,,,530.8,566.1,,,EEACEBDDADBEABABECDBBCADEDACBBEAACBEDEDEABADC,ADBCC99999EBECBCEAAECBDCEDAAECBDECDCDEDABBECCDBEDA,,0,,EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB,ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC,,1.0,160.0,120.0,160.0,140.0,120.0,700.0,H,G,F,D,4,G,A,B,E,A,A,B,B,B,A,B,A,A,E,B,A,E,A,C,B
190005715030,2019,2304400,Fortaleza,23,CE,22,M,1,3,1,2310704.0,Pentecoste,23.0,CE,1,5,1,1.0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304400,Fortaleza,23,CE,1,1,1,1,506.0,510.0,513.0,517.0,395.8,436.0,501.9,466.9,CEDBBBECDDADECBBCEDBADDACABBBDEABDEABCDBAECDD,DBCAEBBCDDBEBDAEABBDCADBBABBEACBDBECCCEECAECA,99999EAAECADDCEBAABECCDBBAAACCAEDDBBECBACDCCECAEBA,CACEABEEDDADEBDCADCDABDDCAEDCBDADECDAECDDBCCB,1,DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC,EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB,ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC,AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA,1.0,140.0,120.0,100.0,120.0,0.0,480.0,D,D,A,A,3,D,A,B,B,A,B,B,A,A,A,A,A,A,B,B,A,D,A,A,A
190005185524,2019,2304400,Fortaleza,23,CE,16,M,1,1,1,2304400.0,Fortaleza,23.0,CE,3,0,1,,1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304400,Fortaleza,23,CE,0,1,1,0,,510.0,513.0,,,481.8,526.6,,,CEDCABCDACBEBBBCEADECEAADDDECAACEABBACEBACABD,ABBBA99999ABBCCDCADEADDCBDABDBBDECDCDEEBBDBDCABCAC,,0,,EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB,ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC,,1.0,120.0,120.0,100.0,120.0,60.0,520.0,G,F,D,E,5,P,D,E,E,D,A,C,C,C,A,B,A,B,D,B,B,E,B,D,B
190005185057,2019,2304400,Fortaleza,23,CE,18,M,1,1,1,2304400.0,Fortaleza,23.0,CE,2,0,3,1.0,0,23245573.0,2304400.0,Fortaleza,23.0,CE,4.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304400,Fortaleza,23,CE,1,1,1,1,506.0,509.0,514.0,517.0,683.3,629.7,677.4,810.7,DEADCAAEECAEAEBCCCBBBCCDEECBCCDDDEDDCBEECACDC,ACACEEADCBCBADCDEACDBBABCEAADCABBDCAEDABEEEDD,EBBAD99999BACCCAEDECAAADDEECDECBEBADBCDEAECBCCAECB,AAADBBEEEEEDDDEBAECCCDCABECEDACACCCDBDACADCDA,0,DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC,ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB,EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB,AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA,1.0,160.0,200.0,200.0,180.0,200.0,940.0,E,G,D,D,3,N,A,C,D,B,A,B,B,B,A,B,A,B,D,B,A,D,A,D,B
190003576245,2019,2304400,Fortaleza,23,CE,17,F,1,3,1,2304400.0,Fortaleza,23.0,CE,2,0,3,1.0,0,23269316.0,2304400.0,Fortaleza,23.0,CE,4.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304400,Fortaleza,23,CE,1,1,1,1,506.0,507.0,511.0,517.0,587.4,588.3,582.0,744.2,DEADEBCECBCCCEADCBBBEEEEBEADCEDEBDADBBDECAEDD,BEBBCBACBADCDCDEEBCACBECEDDEEAEEAECEADBCEABCB,BDABD99999ECAAACDBDCDAAECBBEBEEEBCCDEBDAADCAECEADE,ACCBCDEEDBECDBEBBEABADCBBEAEDBCAECBCBBECEDCEB,0,DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC,BACCCBABBADCBCEEEBCACACEEDBCCADBEADBADBBBACDB,BDABEABCADBCBAADDBECDAAECDAECBECBCCDEEAAADDBBCDCEB,AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA,1.0,180.0,200.0,200.0,200.0,200.0,980.0,F,F,D,D,4,G,B,D,D,C,A,B,B,B,A,B,A,B,C,A,B,E,B,B,B
190005037783,2019,2304400,Fortaleza,23,CE,42,M,1,3,1,2304400.0,Fortaleza,23.0,CE,1,13,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304400,Fortaleza,23,CE,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,B,B,C,B,4,C,A,D,D,A,A,B,A,B,A,A,A,A,B,A,B,D,B,B,B
